2024-08-08 09:25:48 | INFO | stdout | INFO:     127.0.0.1:37900 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:25:48 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [13.0], ret: http://0.0.0.0:7801
2024-08-08 09:25:48 | INFO | stdout | INFO:     127.0.0.1:37914 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:25:48 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [14.0], ret: http://0.0.0.0:7801
2024-08-08 09:25:48 | INFO | stdout | INFO:     127.0.0.1:37928 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:25:48 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [15.0], ret: http://0.0.0.0:7801
2024-08-08 09:25:48 | INFO | stdout | INFO:     127.0.0.1:37940 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:25:48 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [16.0], ret: http://0.0.0.0:7801
2024-08-08 09:25:48 | INFO | stdout | INFO:     127.0.0.1:37948 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:25:48 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [17.0], ret: http://0.0.0.0:7801
2024-08-08 09:25:48 | INFO | stdout | INFO:     127.0.0.1:37954 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:25:48 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [18.0], ret: http://0.0.0.0:7801
2024-08-08 09:25:48 | INFO | stdout | INFO:     127.0.0.1:37968 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:25:48 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [19.0], ret: http://0.0.0.0:7801
2024-08-08 09:25:48 | INFO | stdout | INFO:     127.0.0.1:37982 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:25:48 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [20.0], ret: http://0.0.0.0:7801
2024-08-08 09:25:48 | INFO | stdout | INFO:     127.0.0.1:37996 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:25:48 | INFO | stdout | INFO:     127.0.0.1:38000 - "POST /list_models HTTP/1.1" 200 OK
2024-08-08 09:25:48 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [21.0], ret: http://0.0.0.0:7801
2024-08-08 09:25:48 | INFO | stdout | INFO:     127.0.0.1:38016 - "POST /get_worker_address HTTP/1.1" 200 OK
2024-08-08 09:26:07 | INFO | controller | names: ['http://0.0.0.0:7801'], queue_lens: [22.0], ret: http://0.0.0.0:7801
2024-08-08 09:26:07 | INFO | stdout | INFO:     127.0.0.1:54094 - "POST /get_worker_address HTTP/1.1" 200 OK
